service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
18N-H50N000S-85-S,1,1,1,1,1,0,0,20181029,20181130
18N-H50N000S-85-SV,0,0,0,0,1,0,0,20181029,20181130
18N-H54N000S-81-S,1,1,1,1,1,0,0,20181029,20190104
18N-H55N000S-84-S,1,1,1,1,1,0,0,20181029,20190104
18N-H55N000S-84-SV,0,0,0,0,1,0,0,20181029,20190104
18N-H56N000S-84-S,1,1,1,1,1,0,0,20181029,20190104
18N-H56N000S-84-SV,0,0,0,0,1,0,0,20181029,20190104
18N-H57N000S-82-S,1,1,1,1,1,0,0,20181029,20190104
18N-H58N000S-86-S,1,1,1,1,1,0,0,20181029,20190104
18N-H58N000S-86-SLMM,1,1,1,0,0,0,0,20181029,20190104
18N-H59N000S-86-S,1,1,1,1,1,0,0,20181029,20190104
18N-H59N000S-86-SV,0,0,0,0,1,0,0,20181029,20190104
18N-H60N000S-86-S,1,1,1,1,1,0,0,20181029,20190104
18N-H60N000S-86-SV,0,0,0,0,1,0,0,20181029,20190104
18N-H62N000S-01-S,1,1,1,1,1,0,0,20181029,20190104
18N-H62N000S-01-S260,1,0,1,1,0,0,0,20181029,20190104
18N-H62N000S-01-SLMJ,1,1,0,1,0,0,0,20181029,20190104
18N-H62N000S-01-SLMV,1,0,1,0,1,0,0,20181029,20190104
18N-H62N000S-01-SMJ,0,1,0,1,0,0,0,20181029,20190104
18N-H62N000S-01-SMMJ,0,1,1,1,0,0,0,20181029,20190104
18N-H62N000S-01-SMV,0,0,1,0,1,0,0,20181029,20190104
18N-GLOBAUX-00-S,1,1,1,1,1,0,0,20181029,20190104
18N-H50N000A-00-A,0,0,0,0,0,1,0,20181103,20190105
18N-H54N000A-00-A,0,0,0,0,0,1,0,20181103,20190105
18N-H55N000A-01-A,0,0,0,0,0,1,0,20181103,20190105
18N-H56N000A-00-A,0,0,0,0,0,1,0,20181103,20190105
18N-H57N000A-01-A,0,0,0,0,0,1,0,20181103,20190105
18N-H58N000A-04-A,0,0,0,0,0,1,0,20181103,20190105
18N-H59N000A-02-A,0,0,0,0,0,1,0,20181103,20190105
18N-H60N000A-01-A,0,0,0,0,0,1,0,20181103,20190105
18N-H62N000A-00-A,0,0,0,0,0,1,0,20181103,20190105
18N-GLOBAUX-00-A,0,0,0,0,0,1,0,20181103,20190105
18N-H50N000I-00-I,0,0,0,0,0,0,1,20181104,20190106
18N-H54N000I-01-I,0,0,0,0,0,0,1,20181104,20190106
18N-H55N000I-01-I,0,0,0,0,0,0,1,20181104,20190106
18N-H56N000I-00-I,0,0,0,0,0,0,1,20181104,20190106
18N-H57N000I-01-I,0,0,0,0,0,0,1,20181104,20190106
18N-H58N000I-02-I,0,0,0,0,0,0,1,20181104,20190106
18N-H59N000I-02-I,0,0,0,0,0,0,1,20181104,20190106
