service_id,date,exception_type
18N-H50N000S-86-S,20181225,2
18N-H50N000S-86-S,20181226,2
18N-H50N000S-86-S,20190101,2
18N-H50N000S-86-S,20190102,2
18N-H54N000S-81-S,20181225,2
18N-H54N000S-81-S,20181226,2
18N-H54N000S-81-S,20190101,2
18N-H54N000S-81-S,20190102,2
18N-H55N000S-84-S,20181225,2
18N-H55N000S-84-S,20181226,2
18N-H55N000S-84-S,20190101,2
18N-H55N000S-84-S,20190102,2
18N-H56N000S-84-S,20181225,2
18N-H56N000S-84-S,20181226,2
18N-H56N000S-84-S,20190101,2
18N-H56N000S-84-S,20190102,2
18N-H57N000S-82-S,20181225,2
18N-H57N000S-82-S,20181226,2
18N-H57N000S-82-S,20190101,2
18N-H57N000S-82-S,20190102,2
18N-H58N000S-86-S,20181225,2
18N-H58N000S-86-SLMM,20181225,2
18N-H58N000S-86-S,20181226,2
18N-H58N000S-86-SLMM,20181226,2
18N-H58N000S-86-S,20190101,2
18N-H58N000S-86-SLMM,20190101,2
18N-H58N000S-86-S,20190102,2
18N-H58N000S-86-SLMM,20190102,2
18N-H59N000S-86-S,20181225,2
18N-H59N000S-86-S,20181226,2
18N-H59N000S-86-S,20190101,2
18N-H59N000S-86-S,20190102,2
18N-H60N000S-86-S,20181225,2
18N-H60N000S-86-S,20181226,2
18N-H60N000S-86-S,20190101,2
18N-H60N000S-86-S,20190102,2
18N-H62N000S-01-S,20181225,2
18N-H62N000S-01-SLMJ,20181225,2
18N-H62N000S-01-SMJ,20181225,2
18N-H62N000S-01-SMMJ,20181225,2
18N-H62N000S-01-S,20181226,2
18N-H62N000S-01-SLMV,20181226,2
18N-H62N000S-01-SMV,20181226,2
18N-H62N000S-01-S260,20181226,2
18N-H62N000S-01-SMMJ,20181226,2
18N-H62N000S-01-S,20190101,2
18N-H62N000S-01-SLMJ,20190101,2
18N-H62N000S-01-SMJ,20190101,2
18N-H62N000S-01-SMMJ,20190101,2
18N-H62N000S-01-S,20190102,2
18N-H62N000S-01-SLMV,20190102,2
18N-H62N000S-01-SMV,20190102,2
18N-H62N000S-01-S260,20190102,2
18N-H62N000S-01-SMMJ,20190102,2
18N-GLOBAUX-00-S,20181225,2
18N-GLOBAUX-00-S,20181226,2
18N-GLOBAUX-00-S,20190101,2
18N-GLOBAUX-00-S,20190102,2
